Player	Pos	HT	WT	Age	Teams
Precious Achiuwa	SF	6.8	244	23	TOR
Steven Adams	C	6.11	265	29	MEM
Bam Adebayo	C	6.10	255	25	MIA
Ochai Agbaji	SF	6.5	215	22	UTA
Santi Aldama	C	6.11	224	22	MEM
Nickeil Alexander-Walker	SG	6.5	205	24	MIN UTH
Grayson Allen	SG	6.4	198	27	MIL
Jarrett Allen	C	6.11	248	24	CLE
Jose Alvarado	G	6.0	179	24	NOP
Kyle Anderson	PF	6.9	230	29	MIN
Giannis Antetokounmpo	F	6.11	242	28	MIL
Thanasis Antetokounmpo	SF	6.7	215	30	MIL
Cole Anthony	PG	6.3	195	22	ORL
OG Anunoby	SF	6.7	240	25	TOR
Ryan Arcidiacono	G	6.3	195	28	NYK POR
Deni Avdija	SG	6.9	210	22	WAS
Deandre Ayton	C	7.1	250	24	PHX
Udoka Azubuike	C	7.0	270	23	UTA
Marvin Bagley III	PF	6.11	235	23	DET
Patrick Baldwin Jr.	SG	6.9	220	20	GSW
LaMelo Ball	G	6.7	180	21	CHA
Mohamed Bamba	C	7.0	230	24	LAL ORL
Paolo Banchero	C	6.10	255	20	ORL
Desmond Bane	SG	6.6	215	24	MEM
Dalano Banton	PG	6.7	203	23	TOR
Dominick Barlow	F	6.10	220	19	SAS
Harrison Barnes	SF	6.8	225	30	SAC
Scottie Barnes	SF	6.8	225	21	TOR
R.J. Barrett	SG	6.7	202	22	NYK
Will Barton	GF	6.5	181	32	TOR WAS
Charles Bassey	PF	6.11	230	22	SAS
Keita Bates-Diop	SF	6.8	230	27	SAS
Nicolas Batum	F	6.8	230	34	LAC
Darius Bazley	PF	6.9	216	22	OKC PHX
Bradley Beal	SG	6.3	207	29	WAS
Malik Beasley	SG	6.4	187	26	LAL UTH
MarJon Beauchamp	SG	6.7	202	22	MIL
Davis Bertans	SF	6.10	225	30	DAL
Patrick Beverley	PG	6.1	180	34	CHI LAL
Saddiq Bey	F	6.8	215	23	ATL DET
Khem Birch	PF	6.8	226	30	TOR
Goga Bitadze	C	6.11	245	23	IND ORL
Bismack Biyombo	PF	6.9	255	30	PHX
Buddy Boeheim	SG	6.6	205	23	DET
Bogdan Bogdanovic	SG	6.6	220	30	ATL
Bojan Bogdanovic	F	6.8	216	33	DET
Bol Bol	C	7.2	220	23	ORL
Leandro Bolmaro	SG	6.6	200	22	UTA
Devin Booker	SG	6.6	206	26	PHX
B.J. Boston Jr.	SG	6.6	188	21	LAC
Chris Boucher	PF	6.9	198	30	TOR
