Player	Team	GP	MIN	PTS	FGM	FGA	FGP	TPM	TPA	TPP	FTM	FTA	FTP	ORB	DRB	REB	AST	STL	BLK	TOV	PF
Precious Achiuwa	TOR	55	1140.5	508	196	404	.485	29	108	.269	87	124	.702	100	228	328	50	31	30	59	102
Steven Adams	MEM	42	1133.3	361	157	263	.597	0	1	0	47	129	.364	214	271	485	97	36	46	79	98
Bam Adebayo	MIA	75	2598.2	1529	602	1114	.540	1	12	.083	324	402	.806	184	504	688	240	88	61	187	208
Ochai Agbaji	UTA	59	1209.1	467	165	386	.427	81	228	.355	56	69	.812	43	78	121	67	16	15	41	99
Santi Aldama	MEM	77	1681.1	696	247	525	.470	94	266	.353	108	144	.750	85	286	371	97	45	48	60	143
Nickeil Alexander-Walker	MIN	59	883.6	363	131	295	.444	61	159	.384	40	60	.667	15	86	101	108	32	21	55	88
Grayson Allen	MIL	72	1972.0	750	245	557	.440	146	366	.399	114	126	.905	61	176	237	163	62	14	72	117
Jarrett Allen	CLE	68	2220.1	969	403	626	.644	1	10	.100	162	221	.733	221	445	666	113	54	84	93	153
Jose Alvarado	NOP	61	1310.6	550	201	489	.411	83	247	.336	65	80	.813	28	113	141	186	67	10	81	125
Kyle Anderson	MIN	69	1956.5	647	252	495	.509	43	105	.410	100	136	.735	66	302	368	335	78	63	103	146
Giannis Antetokounmpo	MIL	63	2023.7	1959	707	1278	.553	47	171	.275	498	772	.645	137	605	742	359	52	51	246	197
Thanasis Antetokounmpo	MIL	37	206.1	51	20	46	.435	0	8	0	11	22	.500	15	29	44	15	3	3	12	22
Cole Anthony	ORL	60	1551.8	781	277	610	.454	75	206	.364	152	170	.894	47	241	288	235	37	31	91	158
OG Anunoby	TOR	67	2385.7	1124	421	885	.476	142	367	.387	140	167	.838	95	237	332	131	128	50	132	200
Ryan Arcidiacono	POR	20	172.4	26	9	37	.243	8	23	.348	0	0	0	0	15	15	23	5	0	7	17
Deni Avdija	WAS	76	2020.4	697	253	579	.437	69	232	.297	122	165	.739	74	413	487	211	65	29	123	209
Deandre Ayton	PHX	67	2035.5	1203	522	887	.589	7	24	.292	152	200	.760	172	495	667	115	37	53	120	190
Udoka Azubuike	UTA	36	358.5	125	59	72	.819	0	0	0	7	20	.350	31	88	119	11	6	15	18	34
Marvin Bagley III	DET	42	990.7	504	202	382	.529	19	66	.288	81	108	.750	94	175	269	36	19	30	46	81
Patrick Baldwin Jr.	GSW	31	226.0	122	43	109	.394	32	84	.381	4	6	.667	1	39	40	11	6	4	11	14
